Long,Lat,OGF_ID,ENGLISH_NAME,ADDRESS_LINE_1,ADDRESS_LINE_2,ADDRESS_DESCRIPTOR,COMMUNITY,POSTAL_CODE,OBJECTID
-79.3693469792295,43.6498126851182,127907976,2-Spirited People of the 1st Nations,145 Front Street East,Unit 105,Practice Location,Toronto,M5A1E3,753601
-79.3840465851957,43.6643368869876,127907977,Action Positive VIH-SIDA,543 Yonge Street,4th floor,Practice Location,Toronto,M4Y1Y5,753602
-79.37720028175029,43.6499902847855,127907978,African and Caribbean Council on HIV/AIDS in Ontario,20 Victoria Street,4th floor,Practice Location,Toronto,M5C2N8,753603
-79.3645515781261,43.65466428619251,127907979,Africans in Partnership Against AIDS,526 Richmond Street East,2nd Floor,Practice Location,Toronto,M5A1R3,753604
-79.37508298262759,43.6676496879848,127907980,AIDS Bereavement & Resiliency Project of Ontario (c/o Fife House),490 Sherbourne Street,2nd Floor,Practice Location,Toronto,M4X1K9,753605
-79.3840465851957,43.6643368869876,127907986,AIDS Committee of Toronto,543 Yonge Street,4th floor,Practice Location,Toronto,M4Y1Y5,753611
-79.37640548261041,43.6626573870469,127907990,Alliance for South Asian AIDS Prevention,120 Carlton Street,Suite 315,Practice Location,Toronto,M5A4K3,753615
-79.39789098852059,43.6519313841673,127907992,Asian Community AIDS Services,260 Spadina Avenue,Unit 410,Practice Location,Toronto,M5T2E4,753617
-79.387636386102,43.661620486344205,127907994,Bay Centre for Birth Control,76 Grenville Street,3rd Floor,Practice Location,Toronto,M5S1B2,753619
-79.45747561299501,43.7139201922736,127907995,Birth Control & Venereal Disease Information Centre,960 Lawrence Avenue West,Suite 403,Practice Location,Toronto,M6A3B5,753620
-79.37720028175029,43.6499902847855,127907996,Black Coalition for AIDS Prevention,20 Victoria Street,4th Floor,Practice Location,Toronto,M5C2N8,753621
-79.40231218944109,43.646365382984705,127907999,Canadian AIDS Treatment Information Exchange,555 Richmond Street West,"Suite 505, Postal Office Box 1104",Practice Location,Toronto,M5V3B1,753624
-79.37891028395241,43.668828288014296,127908001,Casey House,119 Isabella Street,,Practice Location,Toronto,M4Y1P2,753626
-79.4042271900715,43.646588782935105,127908002,Central Toronto Community Health Centres,168 Bathurst Street,,Practice Location,Toronto,M5V2R4,753627
-79.37640548261041,43.6626573870469,127908003,Centre for Spanish-Speaking Peoples,120 Carlton Street,Suite 201,Practice Location,Toronto,M5A4K3,753628
-79.40231218944109,43.646365382984705,127908004,Centre francophone de Toronto,555 Richmond Street West,Postal Office Box 600,Practice Location,Toronto,M5V3B1,753629
-79.37937698302,43.65653568583421,127908011,"City of Toronto, Toronto Public Health",277 Victoria Street,5th Floor,Practice Location,Toronto,M5B1W2,753636
-79.44526320377159,43.653565782255704,127908015,Family Service Toronto,128 Sterling Road,,Practice Location,Toronto,M6R2B7,753640
