Neighbourhood, Guadeloupean, Scottish, North American Aboriginal origins, First Nations (North American Indian), Inuit, Mtis, Other North American origins, Acadian, American, Canadian, New Brunswicker, Newfoundlander, Nova Scotian, Ontarian, Qubcois, Portuguese, Other North American origins; n.i.e., European origins, British Isles origins, Channel Islander, Cornish, English, Irish, Manx, Welsh, British Isles origins; n.i.e., French origins, Alsatian, Breton, Corsican, French, Western European origins (except French origins), Austrian, Bavarian, Belgian, Dutch, Flemish, Frisian, German, Luxembourger, Swiss, Western European origins; n.i.e., Northern European origins (except British Isles origins), Danish, Finnish, Icelandic, Norwegian, Swedish, Northern European origins; n.i.e., Eastern European origins, Bulgarian, Caribbean origins, Byelorussian, Czech, Czechoslovakian; n.o.s., Estonian, Hungarian, Latvian, Lithuanian, Moldovan, Polish, Romanian, Russian, Slovak, Ukrainian, Eastern European origins; n.i.e., Southern European origins, Albanian, Bosnian, Catalan, Croatian, Cypriot, Greek, Italian, Kosovar, Macedonian, Maltese, Montenegrin, Serbian, Sicilian, Slovenian, Spanish, Yugoslavian; n.o.s., Southern European origins; n.i.e., Antiguan, Other European origins, Basque, Jewish, Roma (Gypsy), Slavic; n.o.s., Other European origins; n.i.e., Bahamian, Barbadian, Bermudan, Carib, Cuban, Dominican, Grenadian, Haitian, Jamaican, Kittitian/Nevisian, Martinican, Montserratan, Puerto Rican, St. Lucian, Arawak, Trinidadian/Tobagonian, Vincentian/Grenadinian, West Indian; n.o.s., Caribbean origins; n.i.e., Latin; Central and South American origins, Aboriginal from Central/South America (except Arawak and Maya), Argentinian, Belizean, Bolivian, Brazilian, Chilean, Colombian, Costa Rican, Ecuadorian, Guatemalan, Guyanese, Hispanic, Honduran, Maya, Beninese, Mexican, Nicaraguan, Panamanian, Paraguayan, Peruvian, Salvadorean, Uruguayan, Venezuelan, Latin; Central and South American origins; n.i.e., African origins, Central and West African origins, Akan, Angolan, Ashanti, Burkinabe, Cameroonian, Chadian, Congolese, Edo, Ewe, Gabonese, Gambian, Ghanaian, Guinean, Ibo, Ivorian, Liberian, Malian, Malink, Nigerian, Peulh, Senegalese, Sierra Leonean, Togolese, Wolof, Yoruba, Central and West African origins; n.i.e., Maure, North African origins, Algerian, Berber, Coptic, Dinka, Egyptian, Libyan, Moroccan, Sudanese, Tunisian, North African origins; n.i.e., Southern and East African origins, Afrikaner, Amhara, Bantu; n.o.s., Burundian, Djiboutian, Eritrean, Ethiopian, Harari, Kenyan, Malagasy, Mauritian, Oromo, Rwandan, Seychellois, Somali, South African, Tanzanian, Tigrian, Ugandan, Zambian, Zimbabwean, Zulu, Southern and East African origins; n.i.e., Other African origins, Black; n.o.s., Other African origins; n.i.e., Asian origins, West Central Asian and Middle Eastern origins, Afghan, Arab; n.o.s., Armenian, Assyrian, Azerbaijani, Georgian, Hazara, Iranian, Hmong, Iraqi, Israeli, Jordanian, Kazakh, Kurd, Kuwaiti, Kyrgyz, Maori, Lebanese, Palestinian, Pashtun, Saudi Arabian, Syrian, Tajik, Tatar, Turk, Turkmen, Uighur, Uzbek, Yemeni, West Central Asian and Middle Eastern origins; n.i.e., South Asian origins, Bangladeshi, Bengali, Bhutanese, East Indian, Goan, Gujarati, Kashmiri, Nepali, Pakistani, Punjabi, Sinhalese, Sri Lankan, Indonesian, Tamil, South Asian origins; n.i.e., East and Southeast Asian origins, Burmese, Cambodian (Khmer), Chinese, Filipino, Japanese, Karen, Korean, Laotian, Malaysian, Mongolian, Singaporean, Taiwanese, Thai, Tibetan, Vietnamese, East and Southeast Asian origins; n.i.e., Hawaiian, Other Asian origins, Other Asian origins; n.i.e., Oceania origins, Australian, New Zealander, Pacific Islands origins, Fijian, Polynesian; n.o.s., Samoan, Pacific Islands origins; n.i.e.
Agincourt North,0,600,40,25,0,10,"1,345",20,40,"1,295",0,10,0,0,0,275,0,"3,055","1,500",0,0,870,425,0,30,110,265,0,0,0,265,350,40,0,10,95,0,0,225,0,0,0,80,20,25,10,35,10,0,265,15,"1,445",0,20,0,30,45,0,25,0,45,15,10,0,85,0,"1,215",0,0,0,15,0,195,335,0,95,0,0,0,0,15,335,0,0,10,0,0,0,0,0,0,0,125,0,25,20,20,75,10,780,0,0,0,0,0,0,180,25,235,45,470,50,0,0,0,0,20,25,15,10,0,245,10,0,0,0,30,0,20,0,35,10,0,10,30,535,55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,0,15,0,0,10,0,0,0,160,0,0,10,0,140,0,10,10,0,0,65,0,0,0,0,0,20,0,0,0,0,15,0,0,0,20,0,10,0,0,0,0,0,0,265,50,205,"24,305",475,85,35,35,0,0,0,0,45,0,65,0,30,0,0,0,0,0,40,40,0,0,10,0,0,40,0,0,0,15,20,"5,260",10,30,0,"2,090",10,20,0,0,230,55,0,"2,230",65,855,225,"18,575",0,10,"16,950","1,465",60,0,100,10,10,0,0,40,0,0,320,20,0,150,135,10,0,0,0,0,0,0,0
Agincourt South-Malvern West,0,725,105,90,0,25,"1,190",0,70,"1,125",0,0,0,0,0,165,0,"3,770","1,750",0,0,985,620,0,25,110,260,0,0,0,255,425,30,0,0,100,0,0,280,0,30,0,95,50,25,0,10,30,0,430,10,"1,395",15,10,20,15,45,0,10,0,155,65,85,0,100,0,"1,635",0,0,0,10,0,395,630,0,145,40,0,35,0,30,270,0,0,0,35,0,20,10,0,10,0,65,0,0,45,20,35,50,645,10,0,0,0,40,10,305,30,220,125,480,20,0,0,0,15,0,30,0,45,30,240,0,0,0,0,20,20,0,0,0,70,0,25,35,625,110,15,10,10,0,10,0,0,0,0,0,0,70,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,85,0,0,0,0,70,0,0,10,0,0,205,0,0,0,0,0,0,25,0,20,0,10,0,0,0,130,25,10,0,10,0,0,0,0,225,40,195,"17,955",805,255,120,55,0,0,0,0,110,0,65,0,0,0,0,0,0,0,105,25,0,0,35,0,0,30,0,0,0,0,25,"4,170",80,60,0,"2,180",30,10,10,0,410,20,65,"1,145",55,425,185,"13,075",10,0,"11,455","1,405",60,0,145,10,65,45,0,25,0,0,180,10,0,50,55,0,0,0,0,0,0,0,0
Alderwood,0,"1,720",305,200,15,100,"2,355",10,100,"2,245",0,15,0,0,20,740,15,"9,135","3,940",0,0,"2,320","1,900",0,150,235,855,0,0,0,850,"1,150",70,0,20,170,0,0,940,0,50,0,230,55,10,10,115,50,10,"2,415",40,350,25,45,20,35,110,25,65,0,"1,225",45,225,95,810,10,"3,345",120,50,0,300,0,200,"1,275",0,55,75,35,140,0,390,155,50,0,10,75,0,65,0,0,20,0,35,0,0,50,0,10,0,125,10,0,0,10,0,0,70,0,75,0,315,0,20,0,0,30,25,30,0,10,0,30,0,0,0,0,55,0,0,0,30,20,0,30,30,215,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45,10,0,0,0,25,0,10,10,0,0,100,0,0,0,0,0,20,20,0,0,0,0,0,0,0,15,20,0,0,0,0,35,0,0,70,10,70,"2,055",205,10,40,0,0,0,0,0,15,0,0,25,0,0,10,0,0,0,55,15,0,20,25,0,10,25,0,0,0,0,0,575,0,0,0,495,20,0,0,0,50,20,0,30,50,0,10,"1,295",10,0,420,660,50,0,75,0,10,0,0,0,0,110,45,0,0,0,0,0,10,0,0,0,0,0,0
Annex,0,"5,225",475,345,20,115,"5,255",60,705,"4,655",0,10,10,0,15,545,0,"21,055","11,725",10,0,"6,745","5,235",10,690,"1,160","2,670",0,0,0,"2,665","4,310",390,0,75,940,20,0,"3,030",10,160,10,965,190,180,65,270,250,65,"5,800",25,750,70,230,30,30,685,115,300,20,"2,445",510,"1,790",125,"1,110",255,"4,540",115,30,0,175,10,650,"2,170",0,145,45,0,225,20,105,675,65,0,10,"1,360",30,"1,235",20,0,95,0,45,10,10,65,35,20,0,405,0,0,0,10,10,0,75,0,70,30,765,25,65,0,20,45,50,85,10,55,10,105,10,0,10,0,110,10,10,0,85,20,10,70,30,"1,040",115,0,25,0,0,0,0,45,0,10,0,0,20,0,0,0,0,0,0,10,0,0,0,0,10,0,30,0,270,20,0,0,0,110,20,75,20,20,0,430,0,10,0,0,10,55,95,0,10,0,10,10,10,0,10,175,30,0,0,10,0,0,35,240,30,220,"6,485","1,420",35,55,130,0,0,10,0,480,0,60,120,20,0,20,0,10,10,215,65,0,15,60,0,15,220,10,0,0,0,40,"1,320",35,45,0,965,10,0,25,10,125,15,10,85,50,10,70,"3,945",20,30,"2,400",435,285,0,635,10,65,20,10,105,50,0,145,15,0,30,25,140,110,15,10,0,0,0,10
Banbury-Don Mills,0,"2,835",230,175,10,60,"3,230",0,325,"3,035",0,0,10,0,15,345,0,"13,435","6,460",10,10,"3,615","3,075",0,340,390,"1,095",0,0,0,"1,100","1,955",220,0,40,385,0,0,"1,295",0,80,10,365,100,85,0,90,130,10,"3,710",170,815,85,160,45,135,455,130,105,35,"1,225",670,825,155,460,85,"3,545",205,75,10,120,25,830,"1,040",0,290,25,10,420,0,55,380,20,0,30,455,0,370,10,0,65,0,50,10,0,30,10,40,0,410,0,0,0,0,20,0,145,20,110,50,585,10,45,15,10,30,20,155,0,15,0,130,0,0,0,10,65,0,0,0,20,25,0,30,10,990,105,0,0,0,0,35,0,10,0,0,0,0,20,0,20,0,0,0,0,50,0,0,0,0,0,0,0,0,350,0,0,25,0,275,0,40,15,0,0,265,0,0,10,0,0,90,30,0,0,0,15,0,0,0,45,10,10,0,20,0,0,0,50,270,40,235,"12,025","2,305",70,110,340,25,0,10,0,875,0,50,50,10,0,85,0,0,10,220,95,0,10,100,15,0,325,0,0,0,10,30,"2,940",50,10,0,"2,365",30,40,0,0,325,10,20,135,20,65,80,"6,920",0,0,"4,850","1,280",275,0,575,0,35,0,15,90,0,0,115,0,0,40,45,20,20,10,0,0,0,0,0
Bathurst Manor,0,510,90,75,0,0,"1,630",10,105,"1,500",0,15,0,10,0,405,0,"9,370","1,455",0,0,800,520,0,30,130,285,0,0,0,285,625,75,0,40,85,0,0,440,0,30,0,55,10,0,0,10,30,0,"4,440",70,440,120,55,10,15,390,85,175,30,"1,735",405,"2,005",60,795,85,"3,390",40,0,0,40,0,645,"1,785",0,35,25,0,160,0,20,465,10,0,10,"1,265",0,"1,170",0,20,95,0,0,0,10,50,25,30,15,200,10,10,0,0,0,15,70,10,35,10,670,20,25,0,10,35,40,140,0,50,20,50,45,30,0,0,85,0,25,0,30,40,0,55,40,600,80,0,0,0,0,10,0,20,0,0,0,0,25,0,15,0,0,0,0,20,0,0,0,10,0,0,0,0,290,20,10,0,0,90,10,180,0,10,0,130,0,0,0,10,0,0,40,0,0,10,0,0,10,0,15,45,0,0,0,0,10,0,0,100,10,110,"5,190","1,460",50,15,110,10,60,105,0,235,0,80,380,0,10,35,0,10,0,80,10,10,0,60,20,20,205,0,10,30,30,50,565,0,80,0,360,0,0,0,0,30,10,0,40,30,35,15,"3,200",35,10,825,"2,030",35,0,305,15,20,0,0,0,20,15,100,0,0,15,15,0,10,0,0,0,0,0,0
Bay Street Corridor,0,"2,090",250,205,10,50,"2,445",55,305,"2,180",0,10,0,0,10,345,0,"9,360","4,845",10,0,"2,800","1,940",10,255,410,"1,195",10,0,0,"1,190","1,770",160,0,50,375,0,0,"1,245",0,100,0,310,60,60,30,85,100,10,"2,595",60,510,15,55,15,20,265,60,110,0,950,280,685,85,625,45,"2,095",40,10,0,60,0,250,"1,020",0,80,30,10,100,0,20,370,25,0,0,435,10,315,0,0,110,25,30,0,10,30,25,15,30,160,10,0,0,0,0,0,80,10,85,40,720,20,30,10,10,90,50,65,10,25,20,70,10,0,0,0,180,10,0,0,50,0,0,60,10,"1,135",190,0,0,0,0,25,0,25,0,0,0,0,15,0,0,0,0,0,0,85,0,0,0,0,0,0,10,0,440,0,0,0,0,345,20,60,40,0,15,285,10,0,0,0,0,10,45,0,20,0,10,0,0,15,55,45,20,0,0,0,20,0,40,230,40,205,"15,040","2,460",35,395,155,10,0,0,0,685,0,105,65,95,0,15,25,0,10,225,180,15,205,105,15,25,230,0,0,0,20,150,"2,515",85,85,0,"1,865",0,20,0,20,340,60,10,125,95,15,90,"10,135",10,20,"7,585",455,385,0,"1,370",0,40,40,20,315,40,20,200,15,0,50,50,60,40,20,10,0,0,0,0
Bayview Village,0,"1,135",110,90,0,40,"1,450",10,105,"1,350",0,0,10,0,10,155,0,"6,645","2,845",0,0,"1,645","1,155",0,125,255,555,0,0,0,540,925,100,0,20,160,0,0,635,0,65,0,155,20,35,20,30,50,0,"2,410",20,570,80,45,10,75,295,35,65,0,685,570,660,0,390,35,"1,610",10,30,0,120,0,320,585,0,110,10,15,105,0,35,320,25,0,0,305,0,265,0,0,45,10,35,0,0,70,20,25,0,280,0,0,10,0,15,0,55,15,95,55,585,40,30,10,15,55,30,105,0,25,0,85,50,0,0,0,55,15,0,0,40,10,0,40,15,640,175,0,0,0,0,30,0,15,0,0,0,0,75,0,0,0,0,0,0,20,0,0,0,0,0,0,25,0,185,0,0,0,0,165,0,25,0,0,0,130,0,0,0,0,0,0,10,0,0,0,15,0,0,10,35,25,0,0,0,0,0,0,25,155,10,140,"13,845","3,520",145,65,180,0,60,10,10,"2,565",0,55,35,35,10,55,0,0,10,140,55,0,30,55,0,20,150,10,0,25,10,85,"1,410",35,20,0,"1,025",0,0,0,0,140,0,15,155,65,35,120,"8,970",0,20,"6,065",830,235,0,"1,685",20,15,10,20,135,10,0,155,10,0,0,0,45,15,15,20,10,0,0,10
Bayview Woods-Steeles,0,625,110,75,0,30,920,0,105,830,0,0,0,0,0,135,0,"4,255","1,640",0,0,960,645,0,75,85,335,0,0,0,330,565,85,0,45,105,0,0,350,0,20,0,100,30,40,0,30,10,0,"1,580",20,510,10,30,0,25,215,25,70,10,675,255,585,10,160,30,875,40,0,0,25,0,120,360,0,45,0,0,15,0,20,135,10,0,15,340,10,290,0,10,30,0,0,0,0,0,0,15,0,275,0,0,0,0,20,0,85,45,65,55,300,25,10,0,0,0,25,50,0,0,0,85,0,0,0,0,15,0,0,0,35,30,0,25,25,415,45,0,0,0,0,0,0,0,0,0,0,0,35,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,110,0,0,0,0,100,0,15,20,0,0,105,0,0,0,0,0,0,0,0,25,0,60,0,0,0,0,20,0,0,0,0,10,0,15,150,20,160,"7,920","1,525",25,10,145,0,20,0,0,"1,165",0,20,0,0,0,10,0,0,0,45,0,0,0,10,0,0,75,0,0,10,20,10,805,0,0,0,570,20,0,0,0,65,0,15,75,15,15,25,"5,675",30,15,"4,480",210,115,0,730,0,15,10,10,40,0,0,130,10,0,0,0,15,10,20,0,0,0,0,0
Bedford Park-Nortown,0,"2,400",100,95,0,20,"4,940",40,705,"4,405",0,0,0,0,0,240,0,"16,150","5,635",0,15,"3,365","2,335",10,215,535,770,0,0,0,760,"2,555",435,0,130,400,0,0,"1,610",0,200,0,255,25,75,35,10,100,10,"7,475",45,330,25,235,85,60,"1,110",95,625,0,"3,990",720,"2,790",40,625,415,"2,860",45,0,0,55,0,510,"1,505",0,205,25,25,135,0,70,340,15,0,10,"2,005",0,"1,645",0,0,375,0,30,0,10,20,25,0,0,175,0,0,0,0,15,0,55,0,15,0,520,30,25,0,15,65,10,70,0,45,0,45,10,0,0,0,75,20,0,0,40,60,0,15,40,625,10,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,270,10,0,0,0,100,0,150,10,25,0,275,0,0,0,10,0,10,25,0,10,0,0,15,0,0,10,205,10,0,0,0,0,0,0,65,10,65,"5,210","1,435",20,10,80,0,35,15,0,450,0,70,575,0,0,10,0,0,0,65,10,0,20,50,0,0,105,0,0,25,0,15,535,0,0,0,430,15,0,0,0,25,40,15,30,10,0,30,"3,295",0,0,"1,185","1,880",95,0,210,0,10,0,0,10,0,0,65,10,0,0,0,50,40,0,0,0,0,0,0
