Neighbourhood,LatinAmerican,Totalvisibleminoritypopulation,SouthAsian,Chinese,Black,Filipino,Arab,SoutheastAsian,WestAsian,Korean,Japanese,Visibleminority,Multiplevisibleminorities,Notavisibleminority
Agincourt North,170,26365,5315,16460,1340,1420,275,260,125,70,60,245,630,2465
Agincourt South-Malvern West,230,20155,4190,11110,1545,1280,300,155,375,140,40,275,490,3320
Alderwood,180,2490,540,275,300,615,90,55,20,65,35,140,180,9535
Annex,405,7270,1125,2145,935,350,300,190,340,605,255,125,480,21380
Banbury-Don Mills,350,12700,2825,4630,970,1135,550,110,755,560,210,155,470,14290
Bathurst Manor,575,5420,550,655,550,1950,155,150,270,305,35,95,135,10165
Bay Street Corridor,460,15925,2420,7435,775,380,1310,340,615,1340,335,155,370,9675
Bayview Village,410,14505,1360,5860,755,765,355,200,2440,1655,180,105,425,6635
Bayview Woods-Steeles,150,8250,670,4360,530,175,130,135,1015,710,70,45,260,4405
Bedford Park-Nortown,345,4845,455,1030,315,1790,90,75,305,195,65,10,170,18270
Beechborough-Greenbrook,335,3760,330,110,2070,395,70,215,10,15,0,135,95,2610
Bendale,530,21075,8305,4400,1910,2885,335,310,815,205,155,475,720,8020
Birchcliffe-Cliffside,225,5740,1405,1190,890,830,105,265,95,30,195,160,340,15940
Black Creek,1780,17435,2110,765,6315,920,705,2595,620,40,30,785,790,4125
Blake-Jones,80,2960,445,950,950,55,45,90,145,15,35,70,85,4725
Briar Hill-Belgravia,920,6500,410,260,1170,3035,45,170,40,130,70,120,125,7710
Bridle Path-Sunnybrook-York Mills,65,2765,375,1410,115,50,40,45,325,185,55,10,110,6415
Broadview North,250,3135,630,470,565,500,125,85,140,70,70,80,145,8200
Brookhaven-Amesbury,1880,11630,1190,450,4770,1250,50,1095,130,50,10,295,455,6075
Cabbagetown-South St.James Town,260,3170,525,720,510,485,110,125,50,95,35,100,140,7815
Caledonia-Fairbank,825,3585,230,235,860,890,0,160,10,30,10,150,185,6320
Casa Loma,225,1870,360,420,280,85,65,55,65,110,80,40,100,9025
Centennial Scarborough,115,5810,2475,710,945,785,175,55,100,40,85,115,230,7525
