_id,OBJECTID,GEO_ID,NAME,BOARD_NAME,SOURCE_ADDRESS,SCHOOL_TYPE_DESC,ADDRESS_POINT_ID,ADDRESS_NUMBER,LINEAR_NAME_FULL,ADDRESS_FULL,POSTAL_CODE,MUNICIPALITY,CITY,PLACE_NAME,LATITUDE,LONGITUDE,geometry,neighbourhood
28977,1,330677,A PLUS ACADEMY OF ADVANCEMENT,,2425 EGLINTON AVE E,Private,330677,2425,Eglinton Ave E,2425 Eglinton Ave E,M1K 5G8,Scarborough,Toronto,,43.732081946,-79.2671039369,POINT (-79.2671039369 43.732081946),Kennedy Park
28978,2,524780,A R S ARMENIAN PRIVATE SCHOOL,,50 HALLCROWN PL,Private,524780,50,Hallcrown Pl,50 Hallcrown Pl,M2J 1P7,North York,Toronto,,43.7700530625,-79.3231561477,POINT (-79.3231561477 43.7700530625),Henry Farm
28979,3,20258267,A Y J GLOBAL ACADEMY,,4 LANSING SQ,Private,20258267,4,Lansing Sq,4 Lansing Sq,M2J 5A2,North York,Toronto,,43.774082570699996,-79.3252164121,POINT (-79.3252164121 43.7740825707),Henry Farm
28980,4,517961,A Y JACKSON SECONDARY SCHOOL,Toronto District School Board,50 FRANCINE DR,English Public,517961,50,Francine Dr,50 Francine Dr,M2H 2G6,North York,Toronto,A. Y. Jackson Secondary School,43.8052613014,-79.3665552934,POINT (-79.3665552934 43.8052613014),Hillcrest Village
28981,5,13967401,ABACUS MONTESSORI LEARNING CENTRE,,4 CREDIT UNION DR,Private,13967401,4,Credit Union Dr,4 Credit Union Dr,M4A 2N8,North York,Toronto,Latvian Canadian Centre,43.725432232799996,-79.3190099774,POINT (-79.3190099774 43.7254322328),Victoria Village
28982,6,4605052,ABU BAKR EDUCATION ACADEMY,,2665 LAWRENCE AVE E,Private,4605052,2665,Lawrence Ave E,2665 Lawrence Ave E,M1P 2S2,Scarborough,Toronto,,43.751453454899995,-79.2621633018,POINT (-79.2621633018 43.75145345489999),Bendale
28983,7,8087266,ACACIA INTERNATIONAL HIGH SCHOOL,,5415 DUNDAS ST W,Private,8087266,5415,Dundas St W,5415 Dundas St W,M9B 1B5,Etobicoke,Toronto,,43.6339646128,-79.54129019300001,POINT (-79.54129019300001 43.6339646128),Islington-City Centre West
28985,9,575619,ACADEMY OF EXCELLENCE,,128 WILLOWDALE AVE,Private,575619,128,Willowdale Ave,128 Willowdale Ave,M2N 4Y2,North York,Toronto,,43.765186281800005,-79.4005055525,POINT (-79.40050555249999 43.76518628180001),Willowdale East
28986,10,30029356,ACADEMY OF MATH AND ENGLISH,,5101 DUNDAS ST W,Private,30029356,5101,Dundas St W,5101 Dundas St W,M9A 5G8,Etobicoke,Toronto,,43.644824255399996,-79.531989733,POINT (-79.531989733 43.6448242554),Islington-City Centre West
28987,11,9311790,ACADEMY OF NEW ECHO EDUCATION,,1041 MCNICOLL AVE,Private,9311790,1041,McNicoll Ave,1041 McNicoll Ave,M1W 3W6,Scarborough,Toronto,,43.8041514842,-79.3344738933,POINT (-79.3344738933 43.8041514842),Steeles
