_id,OBJECTID,GEO_ID,NAME,BOARD_NAME,SOURCE_ADDRESS,SCHOOL_TYPE_DESC,ADDRESS_POINT_ID,ADDRESS_NUMBER,LINEAR_NAME_FULL,ADDRESS_FULL,POSTAL_CODE,MUNICIPALITY,CITY,PLACE_NAME,LATITUDE,LONGITUDE,geometry
28977,1,330677,A PLUS ACADEMY OF ADVANCEMENT,,2425 EGLINTON AVE E,Private,330677,2425,Eglinton Ave E,2425 Eglinton Ave E,M1K 5G8,Scarborough,Toronto,,43.732081946,-79.2671039369,"{u'type': u'Point', u'coordinates': (-79.2671039369, 43.732081946)}"
28978,2,524780,A R S ARMENIAN PRIVATE SCHOOL,,50 HALLCROWN PL,Private,524780,50,Hallcrown Pl,50 Hallcrown Pl,M2J 1P7,North York,Toronto,,43.7700530625,-79.3231561477,"{u'type': u'Point', u'coordinates': (-79.3231561477, 43.7700530625)}"
28979,3,20258267,A Y J GLOBAL ACADEMY,,4 LANSING SQ,Private,20258267,4,Lansing Sq,4 Lansing Sq,M2J 5A2,North York,Toronto,,43.7740825707,-79.3252164121,"{u'type': u'Point', u'coordinates': (-79.3252164121, 43.7740825707)}"
28980,4,517961,A Y JACKSON SECONDARY SCHOOL,Toronto District School Board,50 FRANCINE DR,English Public,517961,50,Francine Dr,50 Francine Dr,M2H 2G6,North York,Toronto,A. Y. Jackson Secondary School,43.8052613014,-79.3665552934,"{u'type': u'Point', u'coordinates': (-79.3665552934, 43.8052613014)}"
28981,5,13967401,ABACUS MONTESSORI LEARNING CENTRE,,4 CREDIT UNION DR,Private,13967401,4,Credit Union Dr,4 Credit Union Dr,M4A 2N8,North York,Toronto,Latvian Canadian Centre,43.7254322328,-79.3190099774,"{u'type': u'Point', u'coordinates': (-79.3190099774, 43.7254322328)}"
28982,6,4605052,ABU BAKR EDUCATION ACADEMY,,2665 LAWRENCE AVE E,Private,4605052,2665,Lawrence Ave E,2665 Lawrence Ave E,M1P 2S2,Scarborough,Toronto,,43.7514534549,-79.2621633018,"{u'type': u'Point', u'coordinates': (-79.2621633018, 43.7514534549)}"
28983,7,8087266,ACACIA INTERNATIONAL HIGH SCHOOL,,5415 DUNDAS ST W,Private,8087266,5415,Dundas St W,5415 Dundas St W,M9B 1B5,Etobicoke,Toronto,,43.6339646128,-79.541290193,"{u'type': u'Point', u'coordinates': (-79.541290193, 43.6339646128)}"
28985,9,575619,ACADEMY OF EXCELLENCE,,128 WILLOWDALE AVE,Private,575619,128,Willowdale Ave,128 Willowdale Ave,M2N 4Y2,North York,Toronto,,43.7651862818,-79.4005055525,"{u'type': u'Point', u'coordinates': (-79.4005055525, 43.7651862818)}"
28986,10,30029356,ACADEMY OF MATH AND ENGLISH,,5101 DUNDAS ST W,Private,30029356,5101,Dundas St W,5101 Dundas St W,M9A 5G8,Etobicoke,Toronto,,43.6448242554,-79.531989733,"{u'type': u'Point', u'coordinates': (-79.531989733, 43.6448242554)}"
28987,11,9311790,ACADEMY OF NEW ECHO EDUCATION,,1041 MCNICOLL AVE,Private,9311790,1041,McNicoll Ave,1041 McNicoll Ave,M1W 3W6,Scarborough,Toronto,,43.8041514842,-79.3344738933,"{u'type': u'Point', u'coordinates': (-79.3344738933, 43.8041514842)}"
28988,12,508042,ACE ACUMEN HIGH SCHOOL,,1440 DON MILLS RD,Private,508042,1440,Don Mills Rd,1440 Don Mills Rd,M3B 3M1,North York,Toronto,,43.7507320603,-79.3475085093,"{u'type': u'Point', u'coordinates': (-79.3475085093, 43.7507320603)}"
28989,13,10476656,ADAM BECK JUNIOR PUBLIC SCHOOL,Toronto District School Board,400 SCARBOROUGH RD,English Public,10476656,400,Scarborough Rd,400 Scarborough Rd,M4E 3M8,former Toronto,Toronto,Adam Beck Junior Public School,43.6831518038,-79.2884878926,"{u'type': u'Point', u'coordinates': (-79.2884878926, 43.6831518038)}"
28990,14,5336735,ADELFIHA'S CHRISTIAN ACADEMY,,4340 DUFFERIN ST,Private,5336735,4340,Dufferin St,4340 Dufferin St,M3H 5R9,North York,Toronto,Revival Time Tabernacle,43.7626893703,-79.4664451058,"{u'type': u'Point', u'coordinates': (-79.4664451058, 43.7626893703)}"
28991,15,10133016,AFRICENTRIC ALTERNATIVE SCHOOL,Toronto District School Board,1430 SHEPPARD AVE W,English Public,10133016,1430,Sheppard Ave W,1430 Sheppard Ave W,M3M 2W9,North York,Toronto,Sheppard Public School,43.7454243556,-79.4882606578,"{u'type': u'Point', u'coordinates': (-79.4882606578, 43.7454243556)}"
28993,17,3211411,AGINCOURT COLLEGIATE INSTITUTE,Toronto District School Board,2621 MIDLAND AVE,English Public,3211411,2621,Midland Ave,2621 Midland Ave,M1S 1R6,Scarborough,Toronto,Agincourt Collegiate Institute,43.7888738444,-79.2789099587,"{u'type': u'Point', u'coordinates': (-79.2789099587, 43.7888738444)}"
28994,18,382096,AGINCOURT INTERNATIONAL ACADEMY,,1001 SANDHURST CRCL,Private,382096,1001,Sandhurst Crcl,1001 Sandhurst Crcl,M1V 1Z6,Scarborough,Toronto,,43.8092576481,-79.26367712,"{u'type': u'Point', u'coordinates': (-79.26367712, 43.8092576481)}"
28995,19,356507,AGINCOURT JR PUBLIC SCHOOL,Toronto District School Board,29 LOCKIE AVE,English Public,356507,29,Lockie Ave,29 Lockie Ave,M1S 1N3,Scarborough,Toronto,Agincourt Junior Public School,43.7882592158,-79.2811623057,"{u'type': u'Point', u'coordinates': (-79.2811623057, 43.7882592158)}"
28996,20,5479010,AGINCOURT MONTESSORI,,2575 MIDLAND AVE,Private,5479010,2575,Midland Ave,2575 Midland Ave,M1S 1R3,Scarborough,Toronto,,43.786443273,-79.2787041824,"{u'type': u'Point', u'coordinates': (-79.2787041824, 43.786443273)}"
28997,21,30022742,AGNES MCPHAIL PUBLIC SCHOOL,Toronto District School Board,112 GOLDHAWK TRL,English Public,30022742,112,Goldhawk Trl,112 Goldhawk Trl,M1V 1W5,Scarborough,Toronto,,43.8192689757,-79.2785533935,"{u'type': u'Point', u'coordinates': (-79.2785533935, 43.8192689757)}"
28998,22,10785753,AIM ACADEMY ISLAMIC SCHOOL,,56 BOUSTEAD AVE,Private,10785753,56,Boustead Ave,56 Boustead Ave,M6R 1Y9,former Toronto,Toronto,The Canadian Islamic Trust,43.653308868,-79.4544695238,"{u'type': u'Point', u'coordinates': (-79.4544695238, 43.653308868)}"
28999,23,2119588,AL AZHAR ISLAMIC SCHOOL,,100 MCLEVIN AVE,Private,2119588,100,McLevin Ave,100 McLevin Ave,M1B 5K1,Scarborough,Toronto,,43.8015539474,-79.2365750799,"{u'type': u'Point', u'coordinates': (-79.2365750799, 43.8015539474)}"
29000,24,376316,AL HAADI SCHOOL,,690 PROGRESS AVE,Private,376316,690,Progress Ave,690 Progress Ave,M1H 3A6,Scarborough,Toronto,,43.7779415952,-79.2484031068,"{u'type': u'Point', u'coordinates': (-79.2484031068, 43.7779415952)}"
29001,25,1017314,AL IKHLAAS FOUNDATION SCHOOL,,1245 MARTIN GROVE RD,Private,1017314,1245,Martin Grove Rd,1245 Martin Grove Rd,M9W 4X2,Etobicoke,Toronto,,43.7109597265,-79.5785365342,"{u'type': u'Point', u'coordinates': (-79.5785365342, 43.7109597265)}"
29002,26,385458,ALATHENA INTERNATIONAL ACADEMY SECONDARY SCHOOL - BRIMLEY,,4386 SHEPPARD AVE E,Private,385458,4386,Sheppard Ave E,4386 Sheppard Ave E,M1S 1T8,Scarborough,Toronto,,43.787469172,-79.2706516349,"{u'type': u'Point', u'coordinates': (-79.2706516349, 43.787469172)}"
29003,27,508045,ALATHENA INTERNATIONAL ACADEMY SECONDARY SCHOOL - NORTH YORK,,1470 DON MILLS RD,Private,508045,1470,Don Mills Rd,1470 Don Mills Rd,M3B 2X9,North York,Toronto,,43.753218181,-79.3477301744,"{u'type': u'Point', u'coordinates': (-79.3477301744, 43.753218181)}"
29004,28,9311804,ALATHENA INTERNATIONAL ACADEMY SECONDARY SCHOOL - SCARBOROUGH,,1065 MCNICOLL AVE,Private,9311804,1065,McNicoll Ave,1065 McNicoll Ave,M1W 3W6,Scarborough,Toronto,,43.8036813181,-79.3326615935,"{u'type': u'Point', u'coordinates': (-79.3326615935, 43.8036813181)}"
29005,29,9655748,ALAZHAR ACADEMY OF CANADA,,2074 KIPLING AVE,Private,9655748,2074,Kipling Ave,2074 Kipling Ave,M9W 4J9,Etobicoke,Toronto,,43.7148769185,-79.569211624,"{u'type': u'Point', u'coordinates': (-79.569211624, 43.7148769185)}"
29006,30,7531001,ALBERT CAMPBELL COLLEGIATE INSTITUTE,Toronto District School Board,1550 SANDHURST CRCL,English Public,7531001,1550,Sandhurst Crcl,1550 Sandhurst Crcl,M1V 1S6,Scarborough,Toronto,Albert Campbell Collegiate Institute,43.8092625383,-79.2724244729,"{u'type': u'Point', u'coordinates': (-79.2724244729, 43.8092625383)}"
29007,31,10133520,ALBION HEIGHTS JUNIOR MIDDLE SCHOOL,Toronto District School Board,45 LYNMONT RD,English Public,10133520,45,Lynmont Rd,45 Lynmont Rd,M9V 3W9,Etobicoke,Toronto,Albion Heights Public School,43.731388264,-79.5943154959,"{u'type': u'Point', u'coordinates': (-79.5943154959, 43.731388264)}"
29008,32,982437,ALBION LINC,Toronto District School Board,1530 ALBION RD,English Public,982437,1530,Albion Rd,1530 Albion Rd,M9V 1B4,Etobicoke,Toronto,,43.7417625405,-79.584602138,"{u'type': u'Point', u'coordinates': (-79.584602138, 43.7417625405)}"
29009,33,11125044,ALBORZ EDUCATION CENTRE SECONDARY SCHOOL,,20 TANGREEN CRT,Private,11125044,20,Tangreen Crt,20 Tangreen Crt,M2M 3Y9,North York,Toronto,,43.79549658,-79.4261936575,"{u'type': u'Point', u'coordinates': (-79.4261936575, 43.79549658)}"
29010,34,10527839,ALEXANDER MUIR GLADSTONE AVENUE JUNIOR & SENIOR PUBLIC SCHOOL,Toronto District School Board,108 GLADSTONE AVE,English Public,10527839,108,Gladstone Ave,108 Gladstone Ave,M6J 3L2,former Toronto,Toronto,Alexander Muir/Gladstone Ave Junior and Senior Public School,43.6460212506,-79.4288472632,"{u'type': u'Point', u'coordinates': (-79.4288472632, 43.6460212506)}"
29011,35,333733,ALEXANDER STIRLING PUBLIC SCHOOL,Toronto District School Board,70 FAWCETT TRL,English Public,333733,70,Fawcett Trl,70 Fawcett Trl,M1B 3A9,Scarborough,Toronto,Alexander Stirling Public School,43.8116563251,-79.2076059405,"{u'type': u'Point', u'coordinates': (-79.2076059405, 43.8116563251)}"
29012,36,300827,ALEXMUIR JUNIOR PUBLIC SCHOOL,Toronto District School Board,95 ALEXMUIR BLVD,English Public,300827,95,Alexmuir Blvd,95 Alexmuir Blvd,M1V 1H6,Scarborough,Toronto,Alexmuir Public School,43.8091093227,-79.2856134903,"{u'type': u'Point', u'coordinates': (-79.2856134903, 43.8091093227)}"
29013,37,9779413,ALIF CANADA ELEMENTARY SCHOOL,,505 ELLESMERE RD,Private,9779413,505,Ellesmere Rd,505 Ellesmere Rd,M1R 4E5,Scarborough,Toronto,Vineyard Christian Fellowship-Sc,43.7621567551,-79.294921297,"{u'type': u'Point', u'coordinates': (-79.294921297, 43.7621567551)}"
29014,38,9345080,ALIVE CHRISTIAN ACADEMY INTERNATIONAL SCHOOL,,720 PROGRESS AVE,Private,9345080,720,Progress Ave,720 Progress Ave,M1H 2X3,Scarborough,Toronto,,43.7791840974,-79.246497022,"{u'type': u'Point', u'coordinates': (-79.246497022, 43.7791840974)}"
29015,39,1029710,ALL SAINTS CATHOLIC ELEMENTARY SCHOOL,Toronto Catholic District School Board,1435 ROYAL YORK RD,English Separate,1029710,1435,Royal York Rd,1435 Royal York Rd,M9P 3A7,Etobicoke,Toronto,All Saints Catholic School,43.6852216298,-79.5270811218,"{u'type': u'Point', u'coordinates': (-79.5270811218, 43.6852216298)}"
29016,40,873148,ALLENBY JUNIOR PUBLIC SCHOOL,Toronto District School Board,391 ST CLEMENTS AVE,English Public,873148,391,St Clements Ave,391 St Clements Ave,M5N 1M2,former Toronto,Toronto,Allenby Junior Public School,43.7094356429,-79.4127877318,"{u'type': u'Point', u'coordinates': (-79.4127877318, 43.7094356429)}"
29017,41,4368161,AL-MADRASAH AL-INAMYYAH,,3665 LAWRENCE AVE E,Private,4368161,3665,Lawrence Ave E,3665 Lawrence Ave E,M1G 1P7,Scarborough,Toronto,,43.7603212832,-79.2204196022,"{u'type': u'Point', u'coordinates': (-79.2204196022, 43.7603212832)}"
29018,42,3948771,ALPHA ALTERNATIVE JUNIOR SCHOOL,Toronto District School Board,20 BRANT ST,English Public,3948771,20,Brant St,20 Brant St,M5V 2M1,former Toronto,Toronto,Alpha Alternative Junior Public School,43.6457220332,-79.3982225847,"{u'type': u'Point', u'coordinates': (-79.3982225847, 43.6457220332)}"
29019,43,6710176,ALPHA II ALTERNATIVE SCHOOL,Toronto District School Board,1141 BLOOR ST W,English Public,6710176,1141,Bloor St W,1141 Bloor St W,M6H 1M9,former Toronto,Toronto,Bloor Collegiate Institute,43.659246108,-79.4367968964,"{u'type': u'Point', u'coordinates': (-79.4367968964, 43.659246108)}"
29020,44,30025396,ALPHA QUALITY EDUCATION INC,,6120A YONGE ST,Private,30025396,6120A,Yonge St,6120A Yonge St,M2M 3W7,North York,Toronto,,43.7916222613,-79.4189320716,"{u'type': u'Point', u'coordinates': (-79.4189320716, 43.7916222613)}"
29021,45,11512110,AL-QASIM ACADEMY,,3482 LAWRENCE AVE E,Private,11512110,3482,Lawrence Ave E,3482 Lawrence Ave E,M1H 3E5,Scarborough,Toronto,,43.7601291639,-79.2270980416,"{u'type': u'Point', u'coordinates': (-79.2270980416, 43.7601291639)}"
29022,46,489054,AL-RASSOOL ISLAMIC SCHOOL,,120 BERMONDSEY RD,Private,489054,120,Bermondsey Rd,120 Bermondsey Rd,M4A 1X5,North York,Toronto,,43.7177128216,-79.3146091354,"{u'type': u'Point', u'coordinates': (-79.3146091354, 43.7177128216)}"
29023,47,312808,ALTERNATIVE SCARBOROUGH EDUCATION ONE,Toronto District School Board,60 BRIMORTON DR,English Public,312808,60,Brimorton Dr,60 Brimorton Dr,M1P 3Z1,Scarborough,Toronto,St. Andrews Public School,43.7666452472,-79.2547962817,"{u'type': u'Point', u'coordinates': (-79.2547962817, 43.7666452472)}"
29025,49,9187246,AMAIRAH PRIVATE SCHOOL,,1625 ALBION RD,Private,9187246,1625,Albion Rd,1625 Albion Rd,M9V 5H8,Etobicoke,Toronto,,43.7417121222,-79.5945953168,"{u'type': u'Point', u'coordinates': (-79.5945953168, 43.7417121222)}"
