stop_id,stop_name,stop_lat,stop_lon,zone_id,stop_url,location_type,wheelchair_boarding
WE,Weston GO,43.70022,-79.51467099999999,4,https://www.gotransit.com/en/stations-stops-parking/find-a-station-or-stop/results?stationCode=WE,0,1
UN,Union Station,43.645195,-79.3806,2,https://www.gotransit.com/en/stations-stops-parking/find-a-station-or-stop/results?stationCode=UN,0,1
SC,Scarborough GO,43.716945,-79.254722,6,https://www.gotransit.com/en/stations-stops-parking/find-a-station-or-stop/results?stationCode=SC,0,1
RU,Rutherford GO,43.838487,-79.498819,61,https://www.gotransit.com/en/stations-stops-parking/find-a-station-or-stop/results?stationCode=RU,0,1
PO,Port Credit GO,43.555999,-79.586881,10,https://www.gotransit.com/en/stations-stops-parking/find-a-station-or-stop/results?stationCode=PO,0,1
PA,Pearson Airport Terminal 1,43.6821671,-79.6132584,31,https://www.gotransit.com/en/stations-stops-parking/find-a-station-or-stop/results?stationCode=PA,0,1
OR,Oriole GO,43.765518,-79.364275,5,https://www.gotransit.com/en/stations-stops-parking/find-a-station-or-stop/results?stationCode=OR,0,1
OL,Old Cummer GO,43.793703,-79.371403,5,https://www.gotransit.com/en/stations-stops-parking/find-a-station-or-stop/results?stationCode=OL,0,1
OA,Oakville GO,43.455594,-79.682242,13,https://www.gotransit.com/en/stations-stops-parking/find-a-station-or-stop/results?stationCode=OA,0,1
MK,Milliken GO,43.823227,-79.301785,70,https://www.gotransit.com/en/stations-stops-parking/find-a-station-or-stop/results?stationCode=MK,0,1
MI,Mimico GO,43.616411,-79.497762,79,https://www.gotransit.com/en/stations-stops-parking/find-a-station-or-stop/results?stationCode=MI,0,2
MA,Malton GO,43.705153,-79.63823000000001,31,https://www.gotransit.com/en/stations-stops-parking/find-a-station-or-stop/results?stationCode=MA,0,1
LO,Long Branch GO,43.591317,-79.546149,59,https://www.gotransit.com/en/stations-stops-parking/find-a-station-or-stop/results?stationCode=LO,0,2
LA,Langstaff GO,43.838546,-79.423139,60,https://www.gotransit.com/en/stations-stops-parking/find-a-station-or-stop/results?stationCode=LA,0,1
KP,Kipling GO,43.636955,-79.536287,3,https://www.gotransit.com/en/stations-stops-parking/find-a-station-or-stop/results?stationCode=KP,0,2
KE,Kennedy GO,43.733045000000004,-79.26270600000001,77,https://www.gotransit.com/en/stations-stops-parking/find-a-station-or-stop/results?stationCode=KE,0,1
EX,Exhibition GO,43.635549,-79.418927,2,https://www.gotransit.com/en/stations-stops-parking/find-a-station-or-stop/results?stationCode=EX,0,1
ET,Etobicoke North GO,43.706171999999995,-79.563506,4,https://www.gotransit.com/en/stations-stops-parking/find-a-station-or-stop/results?stationCode=ET,0,1
ER,Erindale GO,43.567235,-79.66850600000001,40,https://www.gotransit.com/en/stations-stops-parking/find-a-station-or-stop/results?stationCode=ER,0,1
EG,Eglinton GO,43.739621,-79.23231,8,https://www.gotransit.com/en/stations-stops-parking/find-a-station-or-stop/results?stationCode=EG,0,2
DW,Downsview Park GO,43.7536333,-79.47835,19,https://www.gotransit.com/en/stations-stops-parking/find-a-station-or-stop/results?stationCode=DW,0,1
DI,Dixie GO,43.608022,-79.57776199999999,11,https://www.gotransit.com/en/stations-stops-parking/find-a-station-or-stop/results?stationCode=DI,0,1
DA,Danforth GO,43.686462,-79.300358,6,https://www.gotransit.com/en/stations-stops-parking/find-a-station-or-stop/results?stationCode=DA,0,1
CO,Cooksville GO,43.582972999999996,-79.623695,11,https://www.gotransit.com/en/stations-stops-parking/find-a-station-or-stop/results?stationCode=CO,0,1
CL,Clarkson GO,43.513127000000004,-79.633206,12,https://www.gotransit.com/en/stations-stops-parking/find-a-station-or-stop/results?stationCode=CL,0,1
BL,Bloor GO,43.656928,-79.450192,1,https://www.gotransit.com/en/stations-stops-parking/find-a-station-or-stop/results?stationCode=BL,0,1
BE,Bramalea GO,43.7022591,-79.6887512,32,https://www.gotransit.com/en/stations-stops-parking/find-a-station-or-stop/results?stationCode=BE,0,1
AG,Agincourt GO,43.78611,-79.284385,7,https://www.gotransit.com/en/stations-stops-parking/find-a-station-or-stop/results?stationCode=AG,0,1
08012,Malton GO Bus,43.705143,-79.637825,31,https://www.gotransit.com/en/stations-stops-parking/find-a-station-or-stop/results?stationCode=08012,0,1
02772,Yonge St. @ Sheppard Ave.,43.762187996328,-79.41093450555809,5,https://www.gotransit.com/en/stations-stops-parking/find-a-station-or-stop/results?stationCode=02772,0,1
02771,Yonge St. @ Hwy. 407,43.838466425090296,-79.42930969168941,60,https://www.gotransit.com/en/stations-stops-parking/find-a-station-or-stop/results?stationCode=02771,0,1
