Characteristic,    Latin American,  Total visible minority population,    South Asian,    Chinese,    Black,    Filipino,    Arab,    Southeast Asian,    West Asian,    Korean,    Japanese,    Visible minority; n.i.e.,    Multiple visible minorities,  Not a visible minority
Agincourt North,170,"26,365","5,315","16,460","1,340","1,420",275,260,125,70,60,245,630,"2,465"
Agincourt South-Malvern West,230,"20,155","4,190","11,110","1,545","1,280",300,155,375,140,40,275,490,"3,320"
Alderwood,180,"2,490",540,275,300,615,90,55,20,65,35,140,180,"9,535"
Annex,405,"7,270","1,125","2,145",935,350,300,190,340,605,255,125,480,"21,380"
Banbury-Don Mills,350,"12,700","2,825","4,630",970,"1,135",550,110,755,560,210,155,470,"14,290"
Bathurst Manor,575,"5,420",550,655,550,"1,950",155,150,270,305,35,95,135,"10,165"
Bay Street Corridor,460,"15,925","2,420","7,435",775,380,"1,310",340,615,"1,340",335,155,370,"9,675"
Bayview Village,410,"14,505","1,360","5,860",755,765,355,200,"2,440","1,655",180,105,425,"6,635"
Bayview Woods-Steeles,150,"8,250",670,"4,360",530,175,130,135,"1,015",710,70,45,260,"4,405"
Bedford Park-Nortown,345,"4,845",455,"1,030",315,"1,790",90,75,305,195,65,10,170,"18,270"
Beechborough-Greenbrook,335,"3,760",330,110,"2,070",395,70,215,10,15,0,135,95,"2,610"
Bendale,530,"21,075","8,305","4,400","1,910","2,885",335,310,815,205,155,475,720,"8,020"
Birchcliffe-Cliffside,225,"5,740","1,405","1,190",890,830,105,265,95,30,195,160,340,"15,940"
Black Creek,"1,780","17,435","2,110",765,"6,315",920,705,"2,595",620,40,30,785,790,"4,125"
Blake-Jones,80,"2,960",445,950,950,55,45,90,145,15,35,70,85,"4,725"
Briar Hill-Belgravia,920,"6,500",410,260,"1,170","3,035",45,170,40,130,70,120,125,"7,710"
Bridle Path-Sunnybrook-York Mills,65,"2,765",375,"1,410",115,50,40,45,325,185,55,10,110,"6,415"
Broadview North,250,"3,135",630,470,565,500,125,85,140,70,70,80,145,"8,200"
Brookhaven-Amesbury,"1,880","11,630","1,190",450,"4,770","1,250",50,"1,095",130,50,10,295,455,"6,075"
